왠일이니,11554,감정
왠일,10810,감정
왠지모르게,9193,감정
왠일이야,6630,감정
왠말이냐,6268,의문
왠지모를,4153,불확실성
왠일이래,3689,의문
왠만하면,3638,일상생활
왠지뿌듯,3326,감정
왠걸,3247,궁금함
왠수들,1276,놀람
왠일이니왠일이니,1144,의문
왠만한,2570,일반적인 주제
왠지뭉클,2149,감정 또는 감성
왠말,2078,의견 또는 주장
왠종일,1363,시간 또는 일상생활
왠일이지,1240,일상
왠열왠열,1057,감정
왤케귀엽니,5467,칭찬
왤까,2405,궁금증
왤케,17086,감정
왤케이뻐,3256,외모
왤케맛있어,2093,음식
왤케귀여워,1984,동물
왤케추워,1305,날씨
왤케웃겨,1214,감정
왤케귀엽냐,1108,감정
왬,1400,의문
왭툰,1080,만화
왱,1267,신조어
왱이콩나물국밥,4629,음식
왱이집,3505,장소
외국인모델,602396,모델
외국인,584776,사람
외출,1287066,활동
외로움,253848,감정
외국모델,154934,패션
외대,142472,교육
외제차,135966,자동차
외도보타니아,134815,지리
외계인,108312,공상과학
외국인배우,88031,영화
외국어,77153,언어
외항사,53669,항공여행
외항사승무원,41072,직업
외국어공부,48896,교육
외국인친구,48529,사교
외모지상주의,29737,미용/패션
외도,215149,관계
외동아들,173064,가족
외주,72270,일자리
외국인모델에이전시,59388,모델링
외도널서리,38916,여행
외힙,26355,음악
외식스타그램,202059,음식
외동딸,283344,가족
외로워,48800,감정
외고,31010,교육
외국인여자,39740,인종/민족
외박,96272,생활/라이프스타일
외노자,111655,직업
외식하는날,59816,음식
외국,83798,여행
외국인여자모델,39016,모델
외국인남자모델,33943,패션
외국계기업,16669,비즈니스
외승,19875,여행
외장재,16490,건축
외국인선물,70730,"선물, 외국"
외동딸맘,50542,"가족, 부모"
외국영화,15817,"영화, 외국"
외도339,11661,"영화, 드라마"
외국여자,16603,여행
외과,36190,의학
외암민속마을,22708,문화
왼손볼러,34696,스포츠
왼손잡이아내,1567,스포츠
왼손볼링,6967,스포츠
왼손잡이,48576,스포츠
왼팔,7974,의료
왼손글씨,7674,예술
왼터,7130,운동
왼손가위,4513,가위
왼손골퍼,2484,스포츠
왼쪽,26223,손잡이
왼손은거들뿐,17711,일상생활
